time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:18,264,2,0,0,0,185,237,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:01:18,264,2,0,0,0,185,238,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:02:19,264,2,0,0,0,185,238,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:03:19,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:04:19,264,2,0,0,0,185,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:05:19,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:06:19,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:07:19,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:08:19,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:09:20,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:10:20,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:11:20,264,2,0,0,0,185,237,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:12:20,264,2,0,0,0,185,238,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:13:20,264,2,0,0,0,185,238,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:14:20,264,2,0,0,0,185,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:15:20,264,2,0,0,0,185,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:16:21,264,2,0,0,0,185,237,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:17:21,264,2,0,0,0,185,238,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:18:21,264,2,0,0,0,185,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:19:21,264,2,0,0,0,185,238,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:20:21,264,2,0,0,0,185,238,236,238,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:21:21,264,2,0,0,0,182,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:22:21,264,2,0,0,0,182,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:23:21,264,2,0,0,0,185,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:24:22,264,2,0,0,0,185,237,236,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:25:22,264,2,0,0,0,182,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:26:22,264,2,0,0,0,182,238,237,239,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:27:22,264,2,0,0,0,182,238,237,240,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:28:22,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:29:22,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:30:23,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:31:23,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:32:23,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:33:23,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:34:23,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:35:23,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:36:24,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:37:24,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:38:24,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:39:24,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:40:24,264,2,0,0,0,182,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:41:24,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:42:24,264,2,0,0,0,182,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:43:25,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:44:25,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:45:25,264,2,0,0,0,182,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:46:25,264,2,0,0,0,182,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:47:25,264,2,0,0,0,182,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:48:25,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:49:25,264,2,0,0,0,182,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:50:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:51:26,264,2,0,0,0,182,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:52:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:53:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:54:26,264,2,0,0,0,179,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:55:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:56:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:57:26,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:58:27,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
00:59:27,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:00:27,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:01:27,264,2,0,0,0,179,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:02:27,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:03:27,264,2,0,0,0,179,233,232,234,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:04:27,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:05:27,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:06:28,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:07:28,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:08:28,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:09:28,264,2,0,0,0,179,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:10:28,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:11:28,264,2,0,0,0,179,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:12:28,264,2,0,0,0,179,235,234,237,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:13:29,264,2,0,0,0,179,235,234,237,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:14:29,264,2,0,0,0,179,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:15:29,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:16:29,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:17:29,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:18:29,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:19:29,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:20:29,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:21:30,264,2,0,0,0,179,233,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:22:30,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:23:30,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:24:30,264,2,0,0,0,179,234,233,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:25:30,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:26:30,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:27:31,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:28:31,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:29:31,264,2,0,0,0,179,235,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:30:31,264,2,0,0,0,179,234,233,235,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:31:31,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:32:31,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:33:31,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:34:32,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:35:32,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:36:32,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
01:37:32,264,2,0,0,0,179,234,234,236,1,0,4,62903,7,46974,10,6,15000,4,1,100,100
