time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:09,264,2,0,0,0,125,236,236,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:01:09,264,2,0,0,0,125,237,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:02:09,264,2,0,0,0,125,237,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:03:09,264,2,0,0,0,125,237,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:04:10,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:05:10,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:06:10,264,2,0,0,0,125,236,236,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:07:10,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:08:10,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:09:10,264,2,0,0,0,125,236,236,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:10:10,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:11:11,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:12:11,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:13:11,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:14:11,264,2,0,0,0,125,238,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:15:11,264,2,0,0,0,125,238,237,240,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:16:11,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:17:11,264,2,0,0,0,125,237,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:18:12,264,2,0,0,0,125,237,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:19:12,264,2,0,0,0,125,236,236,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:20:12,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:21:12,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:22:12,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:23:12,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:24:13,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:25:13,264,2,0,0,0,125,237,235,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:26:13,264,2,0,0,0,125,237,236,238,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:27:13,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:28:13,264,2,0,0,0,125,238,237,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
00:29:13,264,2,0,0,0,125,237,236,239,1,0,5,36550,8,20621,10,6,15000,4,1,100,100
