time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:12,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:01:13,264,2,0,0,0,119,233,233,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:02:13,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:03:13,264,2,0,0,0,119,233,233,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:04:13,264,2,0,0,0,119,233,233,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:05:13,264,2,0,0,0,119,232,231,235,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:06:13,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:07:14,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:08:14,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:09:14,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:10:14,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:11:14,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:12:14,264,2,0,0,0,119,234,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:13:14,264,2,0,0,0,119,234,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:14:15,264,2,0,0,0,119,234,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:15:15,264,2,0,0,0,119,234,232,237,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:16:15,264,2,0,0,0,119,234,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:17:15,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:18:15,264,2,0,0,0,119,234,233,237,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:19:15,264,2,0,0,0,119,234,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:20:16,264,2,0,0,0,119,232,231,235,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:21:16,264,2,0,0,0,119,234,233,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:22:16,264,2,0,0,0,119,233,232,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:23:16,264,2,0,0,0,119,232,231,235,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:24:16,264,2,0,0,0,119,234,233,237,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:25:16,264,2,0,0,0,119,234,233,236,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
00:26:16,264,2,0,0,0,119,232,232,235,1,0,10,30552,13,14623,10,6,15000,4,1,100,100
