time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:01,264,5,0,0,0,70,231,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:01:01,264,5,0,0,0,70,231,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:02:01,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:03:01,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:04:01,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:05:01,264,5,0,0,0,70,231,230,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:06:02,264,5,0,0,0,70,231,230,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:07:02,264,5,0,0,0,70,231,230,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:08:02,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:09:02,264,5,0,0,0,70,232,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:10:02,264,5,0,0,0,70,230,229,233,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:11:03,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:12:03,264,5,0,0,0,70,232,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:13:03,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:14:03,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:15:03,264,5,0,0,0,68,232,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:16:03,264,5,0,0,0,68,232,230,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:17:03,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:18:04,264,5,0,0,0,70,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:19:04,264,5,0,0,0,68,232,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:20:04,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:21:04,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:22:04,264,5,0,0,0,68,233,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:23:04,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:24:05,264,5,0,0,0,68,233,232,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:25:05,264,5,0,0,0,68,231,231,234,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:26:05,264,5,0,0,0,68,233,232,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:27:05,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:28:05,264,5,0,0,0,68,233,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:29:05,264,5,0,0,0,68,232,230,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:30:06,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:31:06,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:32:06,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:33:06,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:34:06,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:35:06,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:36:06,264,5,0,0,0,68,232,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:37:07,264,5,0,0,0,68,233,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:38:07,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:39:07,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:40:07,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:41:07,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:42:08,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:43:08,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:44:08,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:45:08,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:46:08,264,5,0,0,0,68,232,230,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:47:08,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:48:09,264,5,0,0,0,68,233,231,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:49:09,264,5,0,0,0,68,232,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:50:09,264,5,0,0,0,68,233,231,235,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:51:09,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:52:09,264,5,0,0,0,68,233,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:53:09,264,5,0,0,0,68,234,232,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:54:10,264,5,0,0,0,68,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:55:10,264,5,0,0,0,68,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:56:10,264,5,0,0,0,68,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:57:10,264,5,0,0,0,68,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:58:10,264,5,0,0,0,65,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
00:59:10,264,5,0,0,0,68,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:00:11,264,5,0,0,0,65,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:01:11,264,5,0,0,0,65,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:02:11,264,5,0,0,0,65,234,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:03:11,264,5,0,0,0,65,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:04:11,264,5,0,0,0,65,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
01:05:11,264,5,0,0,0,65,233,233,236,1,0,10,14170,12,63777,10,6,15000,4,1,100,100
