time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
23:59:59,264,2,0,0,0,116,234,233,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:01:00,264,2,0,0,0,116,234,233,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:02:00,264,2,0,0,0,116,234,233,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:03:00,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:04:00,264,2,0,0,0,116,234,233,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:05:00,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:06:01,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:07:01,264,2,0,0,0,116,235,234,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:08:01,264,2,0,0,0,116,235,234,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:09:01,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:10:01,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:11:01,264,2,0,0,0,116,235,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:12:02,264,2,0,0,0,116,234,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:13:02,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:14:02,264,2,0,0,0,116,236,234,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:15:02,264,2,0,0,0,116,234,233,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:16:02,264,2,0,0,0,116,235,234,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:17:02,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:18:02,264,2,0,0,0,116,235,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:19:03,264,2,0,0,0,116,235,235,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:20:03,264,2,0,0,0,116,235,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:21:03,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:22:03,264,2,0,0,0,116,235,234,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:23:03,264,2,0,0,0,116,235,235,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:24:04,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:25:04,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:26:04,264,2,0,0,0,116,234,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:27:04,264,2,0,0,0,116,235,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:28:04,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:29:04,264,2,0,0,0,116,235,234,238,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:30:05,264,2,0,0,0,116,235,236,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:31:05,264,2,0,0,0,116,236,236,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:32:05,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:33:05,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:34:05,264,2,0,0,0,116,236,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:35:05,264,2,0,0,0,116,235,235,239,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
