time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:54,264,5,0,0,0,191,238,238,239,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:01:54,264,5,0,0,0,191,235,234,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:02:54,264,5,0,0,0,191,231,230,232,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:03:54,264,5,0,0,0,187,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:04:54,264,5,0,0,0,187,234,234,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:05:55,264,5,0,0,0,191,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:06:55,264,5,0,0,0,187,234,234,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:07:55,264,5,0,0,0,187,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:08:55,264,5,0,0,0,187,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:09:55,264,5,0,0,0,187,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:10:55,264,5,0,0,0,187,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:11:55,264,5,0,0,0,187,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:12:56,264,5,0,0,0,187,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:13:56,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:14:56,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:15:56,264,5,0,0,0,187,232,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:16:56,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:17:56,264,5,0,0,0,187,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:18:56,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:19:57,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:20:57,264,5,0,0,0,185,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:21:57,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:22:57,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:23:57,264,5,0,0,0,187,233,233,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:24:57,264,5,0,0,0,185,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:25:57,264,5,0,0,0,187,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:26:58,264,5,0,0,0,187,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:27:58,264,5,0,0,0,185,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:28:58,264,5,0,0,0,185,234,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:29:58,264,5,0,0,0,185,234,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:30:58,264,5,0,0,0,185,233,231,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:31:58,264,5,0,0,0,185,233,231,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:32:59,264,5,0,0,0,185,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:33:59,264,5,0,0,0,185,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:34:59,264,5,0,0,0,185,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:35:59,264,5,0,0,0,185,233,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:36:59,264,5,0,0,0,185,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:37:59,264,5,0,0,0,185,233,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:38:59,264,5,0,0,0,185,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:40:00,264,5,0,0,0,185,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:41:00,264,5,0,0,0,185,232,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:42:00,264,5,0,0,0,185,234,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:43:00,264,5,0,0,0,185,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:44:00,264,5,0,0,0,185,233,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:45:00,264,5,0,0,0,185,233,232,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:46:00,264,5,0,0,0,185,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:47:01,264,5,0,0,0,185,233,233,235,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
00:48:01,264,5,0,0,0,185,233,232,234,1,0,4,61168,7,45239,10,6,15000,4,1,100,100
