time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:00,264,2,0,0,0,287,238,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:01:00,264,2,0,0,0,287,238,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:02:01,264,2,0,0,0,287,238,237,240,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:03:01,264,2,0,0,0,287,239,238,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:04:01,264,2,0,0,0,287,239,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:05:01,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:06:01,264,2,0,0,0,287,239,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:07:01,264,2,0,0,0,287,239,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:08:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:09:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:10:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:11:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:12:02,264,2,0,0,0,287,238,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:13:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:14:02,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:15:03,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:16:03,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:17:03,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:18:03,264,2,0,0,0,287,239,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:19:03,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:20:03,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:21:04,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:22:04,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:23:04,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:24:04,264,2,0,0,0,287,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:25:04,264,2,0,0,0,287,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:26:04,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:27:05,264,2,0,0,0,287,239,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:28:05,264,2,0,0,0,287,239,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:29:05,264,2,0,0,0,287,239,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:30:05,264,2,0,0,0,287,240,240,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:31:05,264,2,0,0,0,287,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:32:05,264,2,0,0,0,287,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:33:06,264,2,0,0,0,287,240,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:34:06,264,2,0,0,0,283,239,238,240,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:35:06,264,2,0,0,0,283,239,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:36:06,264,2,0,0,0,283,240,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:37:06,264,2,0,0,0,283,239,238,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:38:06,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:39:06,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:40:07,264,2,0,0,0,283,240,239,241,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:41:07,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:42:07,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:43:07,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:44:07,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:45:07,264,2,0,0,0,283,239,238,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:46:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:47:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:48:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:49:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:50:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:51:08,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:52:09,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
00:53:09,264,2,0,0,0,283,240,239,242,1,0,0,12088,2,61695,10,6,15000,4,1,100,10
