time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:44,264,2,0,0,0,185,237,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:01:44,264,2,0,0,0,187,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:02:44,264,2,0,0,0,185,237,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:03:45,264,2,0,0,0,187,235,236,237,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:04:45,264,2,0,0,0,185,237,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:05:45,264,2,0,0,0,185,237,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:06:45,264,2,0,0,0,187,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:07:45,264,2,0,0,0,187,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:08:45,264,2,0,0,0,187,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:09:46,264,2,0,0,0,185,237,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:10:46,264,2,0,0,0,185,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:11:46,264,2,0,0,0,187,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:12:46,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:13:46,264,2,0,0,0,185,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:14:46,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:15:46,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:16:47,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:17:47,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:18:47,264,2,0,0,0,185,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:19:47,264,2,0,0,0,185,237,238,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:20:47,264,2,0,0,0,185,237,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:21:47,264,2,0,0,0,185,237,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:22:47,264,2,0,0,0,185,236,237,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:23:48,264,2,0,0,0,185,236,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:24:48,264,2,0,0,0,187,237,237,239,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:25:48,264,2,0,0,0,185,235,236,237,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
00:26:48,264,2,0,0,0,185,236,238,238,1,0,3,9061,5,58668,10,6,15000,4,1,100,100
