time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:01:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:02:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:03:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:04:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:05:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:06:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:07:55,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:08:56,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:09:56,264,2,0,0,0,280,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:10:56,264,2,0,0,0,280,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:11:56,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:12:56,264,2,0,0,0,280,237,238,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:13:56,264,2,0,0,0,280,237,237,239,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:14:56,264,2,0,0,0,280,237,237,240,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:15:57,264,2,0,0,0,280,237,236,239,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
00:16:57,264,2,0,0,0,280,238,238,241,1,0,1,27485,4,11556,10,6,15000,4,1,100,100
