time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:21,264,2,0,0,0,238,233,233,236,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:01:21,264,2,0,0,0,238,234,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:02:22,264,2,0,0,0,236,234,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:03:22,264,2,0,0,0,236,234,234,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:04:22,264,2,0,0,0,236,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:05:22,264,2,0,0,0,236,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:06:22,264,2,0,0,0,236,234,234,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:07:22,264,2,0,0,0,236,234,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:08:22,264,2,0,0,0,236,234,234,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:09:23,264,2,0,0,0,236,234,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:10:23,264,2,0,0,0,236,234,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:11:23,264,2,0,0,0,236,235,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:12:23,264,2,0,0,0,236,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:13:23,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:14:23,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:15:23,264,2,0,0,0,236,235,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:16:23,264,2,0,0,0,236,234,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:17:24,264,2,0,0,0,236,235,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:18:24,264,2,0,0,0,236,235,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:19:24,264,2,0,0,0,236,234,235,236,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:20:24,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:21:24,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:22:24,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:23:25,264,2,0,0,0,236,235,235,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:24:25,264,2,0,0,0,236,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:25:25,264,2,0,0,0,233,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:26:25,264,2,0,0,0,233,235,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:27:25,264,2,0,0,0,233,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:28:25,264,2,0,0,0,233,235,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:29:25,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:30:26,264,2,0,0,0,233,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:31:26,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:32:26,264,2,0,0,0,233,236,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:33:26,264,2,0,0,0,233,234,234,237,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:34:26,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:35:26,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:36:26,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:37:27,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:38:27,264,2,0,0,0,233,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:39:27,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:40:27,264,2,0,0,0,233,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:41:27,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:42:27,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:43:27,264,2,0,0,0,233,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:44:28,264,2,0,0,0,233,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:45:28,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:46:28,264,2,0,0,0,233,236,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:47:28,264,2,0,0,0,233,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:48:28,264,2,0,0,0,233,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:49:28,264,2,0,0,0,229,235,236,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:50:28,264,2,0,0,0,233,235,235,238,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:51:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:52:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:53:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:54:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:55:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:56:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
00:57:29,264,2,0,0,0,229,236,236,239,1,0,1,64134,4,48205,10,6,15000,4,1,100,100
