time,ver,charge_state,I_L1,I_L2,I_L3,Temp,V_L1,V_L2,V_L3,ext_lock,P,E_cyc_hb,E_cyc_lb,E_hb,E_lb,I_max,I_min,watchdog,standby,remote_lock,max_I_cmd,FailSafe_I
00:00:10,264,2,0,0,0,134,232,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:01:10,264,2,0,0,0,134,232,233,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:02:10,264,2,0,0,0,134,232,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:03:10,264,2,0,0,0,134,233,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:04:11,264,2,0,0,0,134,233,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:05:11,264,2,0,0,0,134,231,231,235,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:06:11,264,2,0,0,0,134,233,232,235,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:07:11,264,2,0,0,0,134,232,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:08:11,264,2,0,0,0,134,233,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:09:11,264,2,0,0,0,134,232,231,235,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:10:12,264,2,0,0,0,134,231,230,235,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:11:12,264,2,0,0,0,134,233,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:12:12,264,2,0,0,0,134,233,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:13:12,264,2,0,0,0,134,232,231,235,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:14:12,264,2,0,0,0,134,233,232,236,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:15:12,264,2,0,0,0,134,233,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:16:13,264,2,0,0,0,131,233,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
00:17:13,264,2,0,0,0,134,234,232,237,1,0,9,13636,11,63243,10,6,15000,4,1,100,100
